id	subject	day	starttime	length	teacher	group	room	period	experiod	inweek	exweek	exclass	realweeks	equipment
3292473	Arbetstid	Thur	0745	375	CaSk							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3291945	Arbetstid	Thur	0750	400	ChLa							0	34-43, 45-51, 2-8, 10-12, 14-17, 19-23	
3292272	Arbetstid	Thur	0750	450	AnPe							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292309	Arbetstid	Thur	0750	485	EmLa							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292319	Arbetstid	Thur	0750	430	ErWi							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292322	Arbetstid	Thur	0750	525	FaCa							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292330	Arbetstid	Thur	0750	530	GiPr							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292343	Arbetstid	Thur	0750	455	JoEn							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292354	Arbetstid	Thur	0750	390	KaMa							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292361	Arbetstid	Thur	0750	525	LiJä							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292369	Arbetstid	Thur	0750	475	LilCor							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292372	Arbetstid	Thur	0750	450	LSt							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292379	Arbetstid	Thur	0750	525	MaBe							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292382	Arbetstid	Thur	0750	525	MaEn							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292385	Arbetstid	Thur	0750	480	MaFu							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292395	Arbetstid	Thur	0750	465	MatWik							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292406	Arbetstid	Thur	0750	530	MiJä							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292412	Arbetstid	Thur	0750	530	NaAf							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292429	Arbetstid	Thur	0750	530	RyHa							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292439	Arbetstid	Thur	0750	525	AlWe							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292451	Arbetstid	Thur	0750	480	AnHo							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292350	Arbetstid	Thur	0755	505	JoGe							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3292397	Arbetstid	Thur	0755	470	MeAb							0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
3291716	Year Team Meeting 9	Thur	0800	50	LilCor,JoEn,RyHa,BjJo,ChLa,MaFu,JaOm,LePa		B23					0	33-42, 44-47, 49-51, 2-8, 10-12, 14-17, 19-23	
